trial_type,trial_index,time_elapsed,internal_node_id,subject_id,subject,condition,condition_vector,condition_name,success,timeout,failed_images,failed_audio,failed_video,rt,stimulus,response,images,cur_target,cur_target_image,cur_target_type,round_type,set,test_audio,choice,chosen_image,choices,chosen_images,chosen_items,chosen_audio_items,first_choice_location,chosen_images_in_order,chosen_audio_in_order,chosen_items_in_order,sample_num,chosen_index,chosen_audio,central_images
coact-grid,30,133611,0.0-30.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,2756,,,"[""stims/images/lobster.png"",""stims/images/hippopotamus.png"",""stims/images/antelope.png"",""stims/images/pangolin.png"",""stims/images/elephant.png"",""stims/images/tarsier.png"",""stims/images/tiger.png"",""stims/images/manatee.png""]",,,,,1,,,,"[0,2]","[""stims/images/lobster.png"",""stims/images/antelope.png""]","[""lobster"",""antelope""]","[""stims/audio/its_lobster.wav"",""stims/audio/its_antelope.wav""]",left,"[""stims/images/lobster.png"",""stims/images/antelope.png""]","[""stims/audio/its_lobster.wav"",""stims/audio/its_antelope.wav""]","[""lobster"",""antelope""]",1,,,
coact-grid-choice,31,136211,0.0-31.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,2598,,,"[""stims/images/lobster.png"",""stims/images/hippopotamus.png"",""stims/images/antelope.png"",""stims/images/pangolin.png"",""stims/images/elephant.png"",""stims/images/tarsier.png"",""stims/images/tiger.png"",""stims/images/manatee.png""]",,,,,1,,,stims/images/antelope.png,,,,,left,"[""stims/images/lobster.png"",""stims/images/antelope.png""]","[""stims/audio/its_lobster.wav"",""stims/audio/its_antelope.wav""]","[""lobster"",""antelope""]",1,1,stims/audio/its_antelope.wav,"[""stims/images/lobster.png"",""stims/images/antelope.png""]"
coact-grid-choice-audio,32,139219,0.0-32.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,3000,,,,,,,,1,,,stims/images/antelope.png,,,,,left,,,,1,,stims/audio/its_antelope.wav,
coact-grid,33,144645,0.0-33.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,4122,,,"[""stims/images/tarsier.png"",""stims/images/pangolin.png"",""stims/images/antelope.png"",""stims/images/manatee.png"",""stims/images/hippopotamus.png"",""stims/images/lobster.png"",""stims/images/elephant.png"",""stims/images/tiger.png""]",,,,,1,,,,"[3,1]","[""stims/images/manatee.png"",""stims/images/pangolin.png""]","[""manatee"",""pangolin""]","[""stims/audio/thats_manatee.wav"",""stims/audio/thats_pangolin.wav""]",left,"[""stims/images/manatee.png"",""stims/images/pangolin.png""]","[""stims/audio/thats_manatee.wav"",""stims/audio/thats_pangolin.wav""]","[""manatee"",""pangolin""]",2,,,
coact-grid-choice,34,146684,0.0-34.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,2037,,,"[""stims/images/tarsier.png"",""stims/images/pangolin.png"",""stims/images/antelope.png"",""stims/images/manatee.png"",""stims/images/hippopotamus.png"",""stims/images/lobster.png"",""stims/images/elephant.png"",""stims/images/tiger.png""]",,,,,1,,,stims/images/pangolin.png,,,,,left,"[""stims/images/manatee.png"",""stims/images/pangolin.png""]","[""stims/audio/thats_manatee.wav"",""stims/audio/thats_pangolin.wav""]","[""manatee"",""pangolin""]",2,1,stims/audio/thats_pangolin.wav,"[""stims/images/manatee.png"",""stims/images/pangolin.png""]"
coact-grid-choice-audio,35,149692,0.0-35.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,3000,,,,,,,,1,,,stims/images/pangolin.png,,,,,left,,,,2,,stims/audio/thats_pangolin.wav,
coact-grid,36,154247,0.0-36.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,3247,,,"[""stims/images/manatee.png"",""stims/images/hippopotamus.png"",""stims/images/antelope.png"",""stims/images/elephant.png"",""stims/images/lobster.png"",""stims/images/tarsier.png"",""stims/images/tiger.png"",""stims/images/pangolin.png""]",,,,,1,,,,"[6,0]","[""stims/images/tiger.png"",""stims/images/manatee.png""]","[""tiger"",""manatee""]","[""stims/audio/thats_tiger.wav"",""stims/audio/thats_manatee.wav""]",left,"[""stims/images/tiger.png"",""stims/images/manatee.png""]","[""stims/audio/thats_tiger.wav"",""stims/audio/thats_manatee.wav""]","[""tiger"",""manatee""]",3,,,
coact-grid-choice,37,156723,0.0-37.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,2474,,,"[""stims/images/manatee.png"",""stims/images/hippopotamus.png"",""stims/images/antelope.png"",""stims/images/elephant.png"",""stims/images/lobster.png"",""stims/images/tarsier.png"",""stims/images/tiger.png"",""stims/images/pangolin.png""]",,,,,1,,,stims/images/manatee.png,,,,,left,"[""stims/images/tiger.png"",""stims/images/manatee.png""]","[""stims/audio/thats_tiger.wav"",""stims/audio/thats_manatee.wav""]","[""tiger"",""manatee""]",3,1,stims/audio/thats_manatee.wav,"[""stims/images/tiger.png"",""stims/images/manatee.png""]"
coact-grid-choice-audio,38,159731,0.0-38.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,3000,,,,,,,,1,,,stims/images/manatee.png,,,,,left,,,,3,,stims/audio/thats_manatee.wav,
coact-grid,39,164504,0.0-39.0,p003,P003,ap,"[[""active"",""active""],[""passive"",""active""]]","[""all_active"",""passive_caregiver_active_child""]",,,,,,3465,,,"[""stims/images/manatee.png"",""stims/images/antelope.png"",""stims/images/tiger.png"",""stims/images/pangolin.png"",""stims/images/tarsier.png"",""stims/images/lobster.png"",""stims/images/elephant.png"",""stims/images/hippopotamus.png""]",,,,,1,,,,"[5,6]","[""stims/images/lobster.png"",""stims/images/elephant.png""]","[""lobster"",""elephant""]","[""stims/audio/thats_lobster.wav"",""stims/audio/thats_elephant.wav""]",right,"[""stims/images/elephant.png"",""stims/images/lobster.png""]","[""stims/audio/thats_elephant.wav"",""stims/audio/thats_lobster.wav""]","[""elephant"",""lobster""]",4,,,
